chave_equipe;equipe_id;ine;desligados_60_med;desligados_60_enf;desligados_60_aux;desligados_60_acs;desligados_60_dent;desligados_60_aux_bucal;desligados_60_tec_bucal;tipo_equipe_id;medico ;medico_20 ;enfermeiro ;tec_aux ;acs ;cirurgiao ;aux_bucal ;tec_bucal ;tipo esf 1;tipo esf 2;tipo_esb 
16136722947;22947;300403;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;1;0;0;0;0;0;0;ESF Vacância ACS, Tec/Aux 40h e Enfermeiro(a);;
161122949;22949;300438;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;3;0;0;0;ESF Vacância ACS;;
161122951;22951;300454;0;1;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;0;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Enfermeiro(a) e ACS mais de 60 dias);
161122952;22952;300462;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
161222953;22953;300470;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
161222954;22954;300489;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
161222955;22955;300497;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
161222956;22956;300500;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
161522957;22957;300519;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;3;1;1;4;0;0;0;ESF Completa;;
161522958;22958;300527;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;4;0;0;0;0;0;0;ESF Vacância ACS, Tec/Aux 40h e Enfermeiro(a);;
161522960;22960;300543;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;1;2;1;4;0;0;0;ESF Completa;;
161722961;22961;300578;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;2;1;4;0;0;0;ESF Completa;;
