cnes;unidade;equipe;chave_equipe;tipo_equipe_id;ine;desligados_60_med;desligados_60_enf;desligados_60_aux;desligados_60_acs;desligados_60_dent;desligados_60_aux_bucal;desligados_60_tec_bucal;medico ;medico_20 ;enfermeiro ;tec_aux ;acs ;cirurgiao ;aux_bucal ;tec_bucal ;tipo esf 1;tipo esf 2;tipo_esb
9128867;SMS CF AMAURY BOTTANY - AP 33;33;16236724732;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;300403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
2269295;SMS CMS CLEMENTINO FRAGA - AP 33;33;162124734;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300438;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
2269295;SMS CMS CLEMENTINO FRAGA - AP 33;33;162124736;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300454;0;0;1;0;0;0;0;0;2;1;0;3;0;0;0;EACS Vacância Tec/Aux 40h e ACS;;
2269295;SMS CMS CLEMENTINO FRAGA - AP 33;33;162124737;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300462;0;0;0;0;0;0;0;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;33;162224738;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300470;1;0;0;0;0;0;0;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;33;162224739;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300489;1;0;0;0;0;0;0;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;33;162224740;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300497;1;0;0;0;0;0;0;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;33;162224741;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300500;0;0;0;0;0;0;0;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
2269376;SMS CMS HEITOR BELTRAO - AP 22;22;162524742;70-ESF - EQUIPE DE SAUDE DA FAMILIA;300519;0;0;0;0;0;0;0;1;3;1;1;5;0;0;0;ESF Completa;;
2269376;SMS CMS HEITOR BELTRAO - AP 22;22;162524743;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;300527;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;ESF Vacância ACS, Tec/Aux 40h e Enfermeiro(a);;
