ap;cnes;unidade;ine;desligados_60_med;desligados_60_enf;desligados_60_aux;desligados_60_acs;desligados_60_dent;desligados_60_aux_bucal;desligados_60_tec_bucal;tipo_equipe_id;medico ;medico_20 ;enfermeiro ;tec_aux ;acs ;cirurgiao ;aux_bucal ;tec_bucal ;tipo esf 1;tipo esf 2;tipo_esb
33;9128867;SMS CF AMAURY BOTTANY - AP 33;300403;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
33;2269295;SMS CMS CLEMENTINO FRAGA - AP 33;300438;1;1;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;0;1;3;0;0;0;EACS Vacância Enfermeiro(a) 40h e ACS;ESF Incompleta 40h Médico(a) mais de 60 dias;
33;2269295;SMS CMS CLEMENTINO FRAGA - AP 33;300454;0;0;1;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;0;3;0;0;0;EACS Vacância Tec/Aux 40h e ACS;;
33;2269295;SMS CMS CLEMENTINO FRAGA - AP 33;300462;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
33;2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;300470;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
33;2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;300489;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
33;2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;300497;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
33;2269309;SMS CMS CARLOS CRUZ LIMA - AP 33;300500;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
22;2269376;SMS CMS HEITOR BELTRAO - AP 22;300519;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;4;1;1;5;0;0;0;ESF Completa;;
22;2269376;SMS CMS HEITOR BELTRAO - AP 22;300527;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;4;0;0;0;0;0;0;ESF Vacância ACS, Tec/Aux 40h e Enfermeiro(a);;
22;2269376;SMS CMS HEITOR BELTRAO - AP 22;300543;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;2;2;1;5;0;0;0;ESF Completa;;
32;2269503;SMS CMS EDUARDO A VILHENA - AP 32;300578;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;3;1;1;4;0;0;0;ESF Completa;;
32;2269503;SMS CMS EDUARDO A VILHENA - AP 32;300586;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
52;2269511;SMS CMS GARFIELD DE ALMEIDA - AP 52;300594;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
52;7723296;SMS CF EVERTON DE SOUZA SANTOS - AP 52;300608;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300616;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300624;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;3;0;0;0;ESF Vacância Médico(a) 20h e ACS;;
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300632;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300640;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;2;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300659;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300667;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300675;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2269546;SMS CMS DR OSWALDO VILELLA - AP 52;300683;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;ESF Incompleta (40h médico(a) mais de 60 dias);
52;2269546;SMS CMS DR OSWALDO VILELLA - AP 52;300691;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
52;2269546;SMS CMS DR OSWALDO VILELLA - AP 52;300705;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2269554;SMS CMS BELIZARIO PENNA - AP 52;300721;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vacância ACS;;
52;2269554;SMS CMS BELIZARIO PENNA - AP 52;300748;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2269562;SMS CMS MARIO RODRIGUES CID - AP 52;300756;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;3;0;0;0;ESF Vacância ACS;;
52;2269562;SMS CMS MARIO RODRIGUES CID - AP 52;300764;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
52;2269538;SMS CMS EDGARD MAGALHAES GOMES - AP 52;300799;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vacância Enfermeiro(a) 40h, Médico(a) 40h e ACS;;
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300802;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300810;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;2;1;4;0;0;0;ESF Vacância Médico 20h;;
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300829;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300837;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Médico(a) mais de 60 dias);
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300845;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vacância Médico 20h;;
33;2269627;SMS CMS SYLVIO FREDERICO BRAUNER - AP 33;300853;0;1;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;0;1;3;0;0;0;EACS Vacância ACS;ESF Incompleta (40h Enfermeiro(a) mais de 60 dias);
