ine;desligados_60_med;desligados_60_enf;desligados_60_aux;desligados_60_acs;desligados_60_dent;desligados_60_aux_bucal;desligados_60_tec_bucal;tipo_equipe_id;medico;medico_20;enfermeiro;tec_aux;acs;cirurgiao;aux_bucal;tec_bucal;tipo esf 1;tipo esf 2;tipo_esb;compet;COMPET;DIST_SANIT;CNES
300403;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;1;0;0;0;0;0;0;ESF Vac<e2>ncia ACS, Tec/Aux 40h e Enfermeiro(a);;;2021_01 ;2021_01;33;9128867
300438;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;3;0;0;0;ESF Vac<e2>ncia ACS;;;2021_01 ;2021_01;33;2269295
300454;0;1;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;0;1;3;0;0;0;EACS Vac<e2>ncia ACS;;ESF Incompleta (40h Enfermeiro(a) mais de 60 dias);2021_01 ;2021_01;33;2269295
300462;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;3;0;0;0;ESF Vac<e2>ncia ACS;;;2021_01 ;2021_01;33;2269295
300470;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;3;0;0;0;EACS Vac<e2>ncia ACS;;ESF Incompleta (40h M<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;33;2269309
300489;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;33;2269309
300497;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;33;2269309
300500;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;4;0;0;0;ESF Vac<e2>ncia M<e9>dico 20h;;;2021_01 ;2021_01;33;2269309
300519;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;1;4;0;0;0;ESF Completa;;;2021_01 ;2021_01;22;2269376
300527;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;4;0;0;0;0;0;0;ESF Vac<e2>ncia ACS, Tec/Aux 40h e Enfermeiro(a);;;2021_01 ;2021_01;22;2269376
300543;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;2;1;4;0;0;0;ESF Completa;;;2021_01 ;2021_01;22;2269376
300578;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;4;0;0;0;ESF Completa;;;2021_01 ;2021_01;32;2269503
300586;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;2;1;1;4;0;0;0;ESF Completa;;;2021_01 ;2021_01;32;2269503
300594;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;;2021_01 ;2021_01;52;2269511
300608;0;0;0;0;0;0;0;72-ENASFAP - EQ DO NUCLEO AMPLIADO SAUDE DA FAMILIA E AT PRIMA.;0;0;0;0;0;0;0;0;ESF Vac<e2>ncia Enfermeiro(a) 40h, M<e9>dico(a) 40h e ACS;;;2021_01 ;2021_01;52;7723296
300616;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;52;2269538
300624;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;1;1;1;5;0;0;0;ESF Vac<e2>ncia M<e9>dico 20h;;;2021_01 ;2021_01;52;2269538
300632;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;52;2269538
300640;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;2;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;52;2269538
300659;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;52;2269538
300667;0;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;1;0;1;2;4;0;0;0;ESF Completa;;;2021_01 ;2021_01;52;2269538
300675;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;52;2269538
300683;1;0;0;0;0;0;0;70-ESF - EQUIPE DE SAUDE DA FAMILIA;0;0;1;1;4;0;0;0;EACS;;ESF Incompleta (40h m<e9>dico(a) mais de 60 dias);2021_01 ;2021_01;52;2269546
